Name,Calories,Protein,Carbs,Fat
Soy Milk Vanilla Carton,150,8,18,4.5
Buffalo Chicken Wrap,624,25.4,68.9,29.5
Caesar Salad,223,19.6,3.7,14.2
Ham & Swiss On Honey Wheat,322,28.4,30.5,9.3
House Salad With  Chickpeas Carrots & Corn,123,5.4,23.5,1.7
Hummus Sandwich On Whole Wheat,324,15,38.6,14
Peanut Butter & Jelly On Honey Wheat,590,17.3,73.3,28.4
Pimento Cheese Sandwich On Whole Wheat Bread,528,20,29.3,38.4
Turkey & Cheddar On Honey Wheat Bread,321,31.2,28,9
Apples Granny Smith,75,0.5,21.1,0
Apples. Honeycrisp,177,0.9,47,0.6
Applesauce Cup,0,0,0,0
Bananas,121,1.5,31.1,0.4
Cereal Cheerios,0,0,0,0
Cereal Cheerios Honey Nut,0,0,0,0
Cereal Cinnamon Toast Crunch,0,0,0,0
Cereal Cocoa Puffs,0,0,0,0
Cereal Frosted Flakes,0,0,0,0
Cereal Lucky Charms,0,0,0,0
Mix Fruit Cup In Juice,70,0.5,15.1,0
Mixed Berry Yogurt Cup,130,5,25,1.5
Ms. Vickie's Bbq Potato Chips,199,3,22.9,11
Ms. Vickie's Jalapeno Potato Chips,199,3,21.9,11
Ms. Vickie's Original Salted Potato Chips,209,3,22.9,12
Ms. Vickie's Salt & Vinegar Potato Chips,199,3,22.9,11
Oranges,66,1.3,16.5,0.2
Chocolate Chip Cookie,160,2,23,8
Good Humor King Cone,476,0,95.3,0
Klondike Bar,0,0,0,0
Oreo Ice Cream Cookie Sandwich,0,0,0,0
Rice Krispy Treats,136,0.7,24.9,3.8
Classic Green Beans,24,1,5.8,0
Macaroni & Cheese,211,8.8,14.4,13.4
Smokin' Turkey Breast,91,16.7,0,2.7
Brown Rice With Ancient Grains,134,2.4,28.4,0.8
Chicken Potsticker,109,5.2,11.6,4.4
Sesame Asian Greens,109,3.9,10.2,6.8
Steamed Jasmine Rice,120,2.7,26.7,0
Teriyaki Chicken,151,22.1,8.2,3.6
Tofu Vegetable Stir Fry,98,6.6,5,5.8
Vegetable Potstickers,81,2.4,9.2,4
1000 Island Dressing Packet,190,0,6,18
Apples Granny Smith,75,0.5,21.1,0
Apples. Honeycrisp,177,0.9,47,0.6
Applesauce Cup,0,0,0,0
Bacon,45,2.5,0.3,4
Balsamic Vin Dressing Packet,170,0,3,17
Banana Pepper Rings Mild,3,0,0.5,0
Bananas,121,1.5,31.1,0.4
Blue Cheese Dressing Packet,200,1,2,21
Caesar Dressing Packet,160,2,3,16
Caesar Salad,223,19.6,3.7,14.2
Cheese Parmesan Shredded,51,4.6,0.3,3.5
Eggs Chopped,36,3.1,0.2,2.4
Feta Cheese,71,4.1,1,6.1
Fresh Broccoli,24,2.5,4.5,0.3
Fresh Carrots Shredded,12,0.3,2.7,0.1
Fresh Cherry Tomatoes,6,0.2,1.3,0.1
Fresh Cucumber Slices,4,0.2,1,0
Fresh Lettuce Spring Mix,4,0.4,0.6,0.1
Fresh Red Bell Pepper Sliced,9,0.3,1.7,0.1
Fresh Red Onion Sliced,11,0.3,2.6,0
Golden Italian Dressing Packet,160,0,3,17
Grilled Chicken Breast,122,25.7,0,2.7
Honey Mustard Dressing Packet,188,1,5.9,18.8
House Salad With  Chickpeas Carrots & Corn,123,5.4,23.5,1.7
Lettuce Romaine,15,1,2,0
Mixed Berry Yogurt Cup,130,5,25,1.5
Oranges,66,1.3,16.5,0.2
Ranch Dressing Packet,190,1,2,20
Shredded Cheddar Cheese,111,7.1,1,9.1
Sliced Black Olives,19,0,0.5,1.9
Tofu,83,2.7,0.3,8.3
Portobello Mushroom And Barley Soup,56,2.1,9.1,1.1
Early Peas With Bacon And Corn,72,3.2,12.6,1
Pork Loin Roast,185,24.2,0,10.4
Red Pepper Coulis Sauce,21,0.1,3.3,0
Baked Potato,130,3.5,29.6,0.2
Beans Black,115,7.1,20.4,0.4
Cheddar Cheese Sauce,73,0.9,5.5,5.5
Cheese Monterey Jack Shredded,101,6.1,0.5,8.1
Diced Onions,6,0.2,1.3,0
Fresh Diced Tomato,3,0.1,0.6,0
Guacamole,112,1.2,17.2,4.4
Olives Black Sliced,19,0,0.5,1.9
Picante Salsa,20,0,4,0
Sliced Jalapenos,3,0,0.3,0
Sour Cream,57,0.9,0.9,4.7
Tortilla Chips,142,2,18.2,7.1
Bread Croissant,320,6,38,16
Bread Gluten Free White,240,4,46,5
Bread Honey Wheat,69,3,12.9,0.5
Bread White,69,2.1,13.9,0.8
Buffalo Chicken Wrap,624,25.4,68.9,29.5
Cheese American Slice,70,3,1,6
Cheese Swiss Slice,81,6.1,1,6.1
Deli Roast Beef,61,10.1,0,2
Deli Smoked Ham,81,12.2,1,3
Deli Turkey,51,10.1,1,0.5
Fresh Red Onion Sliced,11,0.3,2.6,0
Fresh Tomato Slice,5,0.2,1.1,0.1
Green Leaf Lettuce,5,0.3,0.7,0
Ham & Swiss On Honey Wheat,322,28.4,30.5,9.3
Ms. Gwen's Chicken Salad,190,10.4,1.2,15.9
Ms. Vickie's Bbq Potato Chips,199,3,22.9,11
Ms. Vickie's Jalapeno Potato Chips,199,3,21.9,11
Ms. Vickie's Original Salted Potato Chips,209,3,22.9,12
Ms. Vickie's Salt & Vinegar Potato Chips,199,3,22.9,11
Peanut Butter & Jelly On Honey Wheat,590,17.3,73.3,28.4
Pickle Dill Sliced,5,0,1,0
Pimento Cheese Sandwich On Whole Wheat Bread,528,20,29.3,38.4
Turkey & Cheddar On Honey Wheat Bread,321,31.2,28,9
Veggie Hummus,89,3.1,7.2,5.6
Angus Beef Hamburger Patty,326,23.1,0,28.1
Bun Gluten Free Hamburger Bun,200,2,40,4.5
Bun Hamburger White,167,5.9,30.1,2.3
Cheese American Slice,70,3,1,6
Cheese Cheddar Slice,54,3.4,0,4.7
Cheese Pepper Jack Slice,95,6.8,0,8.1
Crinkle Cut French Fries,335,2.7,29.7,24.1
